sentID,sent,condition
1a,"Jane ordered a coffee with cream, and Bill a sandwich with cheese.",a
1b,"Jane drank a coffee with cream, and Bill a sandwich with cheese",b
2a,"Peter put the steaks on the grill, and Liz the ketchup on the table.",a
2b,"Peter cooked the steaks on the grill, and Liz the ketchup on the table.",b
3a,"Kevin put the pill in his mouth, and Mario the money in his wallet.",a
3b,"Kevin swallowed the pill in his mouth, and Mario the money in his wallet.",b
4a,"Nancy put the brownies in the oven, and Bonnie the juice in the fridge.",a
4b,"Nancy baked the brownies in the oven, and Bonnie the juice in the fridge.",b
5a,"Sally bought on the blouse with the bonnets, and Tracy the suitcase with the leather pockets.",a
5b,"Sally tried on the blouse with the bonnets, and Tracy the suitcase with the leather pockets.",b
6a,"Jeff painted the door to the pantry, and Paul the walls of the bedroom.",a
6b,"Jeff closed the door to the pantry, and Paul the walls of the bedroom.",b
7a,"Pat cleaned the cabinets in the kitchen, and Ted the floor in the hall.",a
7b,"Pat emptied the cabinets in the kitchen, and Ted the floor in the hall.",b
8a,"Larry took a glass with ice cubes, and Todd a knife with a sharp blade.",a
8b,"Larry filled a glass with ice cubes, and Todd a knife with a sharp blade.",b
9a,"Harry worried about the wire across the floor, and Carl about the staircase to the basement.",a
9b,"Harry snapped the wire across the floor, and Carl the staircase to the basement.",b
10a,"Tom likes cereal with milk, and Billy tea with sugar.",a
10b,"Tom ate cereal with milk, and Billy tea with sugar.",b
11a,"Sue looked at the vase with the flowers, and Joe at the pillow on the couch.",a
11b,"Sue broke the vase with the flowers, and Joe the pillow on the couch.",b
12a,"John took a bagel with jelly, and Ellen a glass of milk.",a
12b,"John spread a bagel with jelly, and Ellen a glass of milk.",b
13a,"Harry groomed the horse with the long mane, and Lisa the dog with the curly tail.",a
13b,"Harry rode the horse with the long mane, and Lisa the dog with the curly tail.",b
14a,"Bill put the cream into the bowl, and Anna the bread on the plate.",a
14b,"Bill poured the cream into the bowl, and Anna the bread on the plate.",b
15a,"Lucy got three pairs of socks, and Bertha a picture in a nice frame.",a
15b,"Lucy knitted three pairs of socks, and Bertha a picture in a nice frame.",b
